id,"name","slug","abbr","created_at","updated_at","deleted_at"
1,"Alabama","alabama","AL","2016-04-12 15:31:45","2016-04-12 15:31:45",NULL
2,"Alaska","alaska","AK","2016-04-12 15:31:53","2016-04-12 15:31:53",NULL
3,"Arizona","arizona","AZ","2016-04-12 15:34:18","2016-04-12 15:34:18",NULL
4,"Arkansas","arkansas","AR","2016-04-12 15:34:25","2016-04-12 15:34:25",NULL
5,"California","california","CA","2016-04-12 15:34:38","2016-04-12 15:34:38",NULL
6,"Colorado","colorado","CO","2016-04-12 15:35:52","2016-04-12 15:35:52",NULL
7,"Connecticut","connecticut","CT","2016-04-12 15:36:03","2016-04-12 15:36:03",NULL
8,"Delaware","delaware","DE","2016-04-12 15:36:07","2016-04-12 15:36:07",NULL
9,"District of Columbia","district-of-columbia","DC","2016-04-12 15:36:11","2016-04-12 15:36:11",NULL
10,"New York","new-york","NY","2016-04-12 15:36:14","2016-04-12 15:36:14",NULL
11,"Florida","florida","FL","2016-04-12 15:36:14","2016-04-12 15:36:14",NULL
12,"Georgia","georgia","GA","2016-04-12 15:36:29","2016-04-12 15:36:29",NULL
13,"Hawaii","hawaii","HI","2016-04-12 15:36:34","2016-04-12 15:36:34",NULL
14,"Idaho","idaho","ID","2016-04-12 15:36:34","2016-04-12 15:36:34",NULL
15,"Illinois","illinois","IL","2016-04-12 15:36:36","2016-04-12 15:36:36",NULL
16,"Oregon","oregon","OR","2016-04-12 15:36:44","2016-04-12 15:36:44",NULL
17,"Indiana","indiana","IN","2016-04-12 15:36:44","2016-04-12 15:36:44",NULL
18,"Montana","montana","MT","2016-04-12 15:36:45","2016-04-12 15:36:45",NULL
19,"Iowa","iowa","IA","2016-04-12 15:36:49","2016-04-12 15:36:49",NULL
20,"Kansas","kansas","KS","2016-04-12 15:36:55","2016-04-12 15:36:55",NULL
21,"Kentucky","kentucky","KY","2016-04-12 15:36:59","2016-04-12 15:36:59",NULL
22,"Washington","washington","WA","2016-04-12 15:37:00","2016-04-12 15:37:00",NULL
23,"Wyoming","wyoming","WY","2016-04-12 15:37:01","2016-04-12 15:37:01",NULL
24,"Louisiana","louisiana","LA","2016-04-12 15:37:04","2016-04-12 15:37:04",NULL
25,"Maine","maine","ME","2016-04-12 15:37:08","2016-04-12 15:37:08",NULL
26,"Maryland","maryland","MD","2016-04-12 15:37:11","2016-04-12 15:37:11",NULL
27,"Massachusetts","massachusetts","MA","2016-04-12 15:37:13","2016-04-12 15:37:13",NULL
28,"Michigan","michigan","MI","2016-04-12 15:37:48","2016-04-12 15:37:48",NULL
29,"Minnesota","minnesota","MN","2016-04-12 15:37:53","2016-04-12 15:37:53",NULL
30,"Mississippi","mississippi","MS","2016-04-12 15:37:59","2016-04-12 15:37:59",NULL
31,"Missouri","missouri","MO","2016-04-12 15:38:01","2016-04-12 15:38:01",NULL
32,"Nebraska","nebraska","NE","2016-04-12 15:38:09","2016-04-12 15:38:09",NULL
33,"Nevada","nevada","NV","2016-04-12 15:38:12","2016-04-12 15:38:12",NULL
34,"New Hampshire","new-hampshire","NH","2016-04-12 15:38:14","2016-04-12 15:38:14",NULL
35,"New Jersey","new-jersey","NJ","2016-04-12 15:38:15","2016-04-12 15:38:15",NULL
36,"New Mexico","new-mexico","NM","2016-04-12 15:38:19","2016-04-12 15:38:19",NULL
37,"North Carolina","north-carolina","NC","2016-04-12 15:38:33","2016-04-12 15:38:33",NULL
38,"North Dakota","north-dakota","ND","2016-04-12 15:38:38","2016-04-12 15:38:38",NULL
39,"Ohio","ohio","OH","2016-04-12 15:38:43","2016-04-12 15:38:43",NULL
40,"Oklahoma","oklahoma","OK","2016-04-12 15:38:50","2016-04-12 15:38:50",NULL
41,"Pennsylvania","pennsylvania","PA","2016-04-12 15:38:56","2016-04-12 15:38:56",NULL
42,"Rhode Island","rhode-island","RI","2016-04-12 15:39:07","2016-04-12 15:39:07",NULL
43,"South Carolina","south-carolina","SC","2016-04-12 15:39:07","2016-04-12 15:39:07",NULL
44,"South Dakota","south-dakota","SD","2016-04-12 15:39:09","2016-04-12 15:39:09",NULL
45,"Tennessee","tennessee","TN","2016-04-12 15:39:11","2016-04-12 15:39:11",NULL
46,"Texas","texas","TX","2016-04-12 15:39:15","2016-04-12 15:39:15",NULL
47,"Utah","utah","UT","2016-04-12 15:39:28","2016-04-12 15:39:28",NULL
48,"Vermont","vermont","VT","2016-04-12 15:39:30","2016-04-12 15:39:30",NULL
49,"Virginia","virginia","VA","2016-04-12 15:39:42","2016-04-12 15:39:42",NULL
50,"West Virginia","west-virginia","WV","2016-04-12 15:39:51","2016-04-12 15:39:51",NULL
51,"Wisconsin","wisconsin","WI","2016-04-12 15:39:56","2016-04-12 15:39:56",NULL
